StudentName,StudentNumber,CourseName,CourseCode,Grades,CourseWeight,Instructor,Department,UniversityName,Location,Ranking
Sarah Newsom,453260,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",3606,60,1.0,Joseph Ford,Education,Korea Advanced Institute of Science and Technology (KAIST),United States of America,764
Dean Allen,736838,MISCELLANEOUS ENGINEERING TECHNOLOGIES,2406,13,1.0,James Little,Humanities & Liberal Arts,Karolinska Institute,Brazil,66
Howard Martin,334292,COMMERCIAL ART AND GRAPHIC DESIGN,5401,9,0.5,See Ragsdale,Engineering,Medical University of South Carolina,Australia,78
Elaine Crystal,792645,BIOLOGY,5401,88,0.5,Melida Williams,Industrial Arts & Consumer Services,University of Trento,Spain,501
Lorraine Granger,886479,PHILOSOPHY AND RELIGIOUS STUDIES,1401,7,0.5,Robert Workman,Physical Sciences,Bilkent University,United States of America,518
David Hughes,863045,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,1904,76,0.5,Margie Remington,Business,University of Dhaka,United Kingdom,760
Helen Hood,581441,MULTI-DISCIPLINARY OR GENERAL SCIENCE,3401,42,1.0,Chad Pardee,Humanities & Liberal Arts,Sheffield Hallam University,Austria,254
Melvin Berkowitz,602870,SCHOOL STUDENT COUNSELING,2309,36,0.5,Estelle Cowart,Biology & Life Science,Rush University,United States of America,660
Danielle Gottlieb,243988,AGRICULTURAL ECONOMICS,4005,27,1.0,William Reed,Education,University of Geneva,South Korea,414
Julian Kay,209664,INTERCULTURAL AND INTERNATIONAL STUDIES,1105,24,0.5,Donald Carlson,Health,Polytechnic University of Catalonia,United Kingdom,393
Gaston Florian,925610,MATHEMATICS AND COMPUTER SCIENCE,6206,88,1.0,John Tao,Engineering,Cairo University,China,341
Richard Eng,426304,PHILOSOPHY AND RELIGIOUS STUDIES,2107,31,0.5,Edward Tanner,Engineering,Pontifical Catholic University of Rio Grande do Sul (PUCRS),United States of America,162
Clara Spence,689119,EDUCATIONAL PSYCHOLOGY,3801,90,1.0,Audrey Bandy,Humanities & Liberal Arts,"University of California, Riverside",United States of America,549
Modesta Peeples,966136,PHYSIOLOGY,6204,33,1.0,Brandon Hanes,Business,University of Illinois at Urbana-Champaign,Spain,467
Annabelle Collazo,131101,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",1100,3,0.5,Judy Nichols,Law & Public Policy,Indian Institute of Technology Guwahati,United States of America,368
Betsy Sims,884610,SPECIAL NEEDS EDUCATION,5504,40,0.5,Justin Chamberland,Health,Zhejiang University,Turkey,541
Anthony McCoy,559285,COMPUTER PROGRAMMING AND DATA PROCESSING,3202,42,0.5,Kelley Kawamura,Biology & Life Science,Dalhousie University,United States of America,84
Trenton Askew,452787,ECOLOGY,2418,9,1.0,Clayton Hall,Computers & Mathematics,University at Buffalo,United Kingdom,322
Linda Walters,541481,MINING AND MINERAL ENGINEERING,6110,9,0.5,Heather Kendall,Social Science,University of Missouri,France,525
Valerie Yancy,614982,COMPUTER ENGINEERING,3607,30,1.0,Paula Gregory,Business,Griffith University,United Kingdom,196
Dawn Guertin,182759,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,5404,7,0.5,Lois Miller,Agriculture & Natural Resources,University of Arkansas,Russian Federation,375
Joseph Mercer,557259,COMPUTER ENGINEERING,1303,51,0.5,Mary Eastman,Health,University of Texas at Dallas,Japan,798
Ricky Martin,826838,APPLIED MATHEMATICS,2309,87,1.0,Teri Bush,Humanities & Liberal Arts,Harbin Institute of Technology,Netherlands,706
Monica Carroll,739917,ENGINEERING AND INDUSTRIAL MANAGEMENT,5504,55,1.0,Dorothy Fernandez,Biology & Life Science,University of Strasbourg,Iceland,573
Mary Morgan,103211,APPLIED MATHEMATICS,4000,0,0.5,Jacki Sprenger,Agriculture & Natural Resources,University of Tokyo,Belgium,77
Vera Merrill,723708,MATHEMATICS,5505,1,0.5,Felix McMullen,Education,New Mexico State University,Canada,233
Karen Peter,848662,PETROLEUM ENGINEERING,5403,72,0.5,Barbara Williams,Education,University of Turin,United Kingdom,813
Michael Wu,798595,PUBLIC ADMINISTRATION,1104,77,1.0,Timothy Piper,Biology & Life Science,Prince of Songkla University,South Korea,78
Eleanor Deleon,252859,AEROSPACE ENGINEERING,2402,94,0.5,Maya Bowers,Engineering,University of Burgundy,Italy,178
James Delong,925876,PHILOSOPHY AND RELIGIOUS STUDIES,2305,20,0.5,Matthew Denzer,Biology & Life Science,Kansas State University,United States of America,715
Ralph Taylor,299375,FILM VIDEO AND PHOTOGRAPHIC ARTS,6103,0,0.5,Shelley Lubbers,Biology & Life Science,University of Waterloo,Japan,115
Daniel Morgan,630655,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,3606,27,1.0,Jessica Lawson,Law & Public Policy,University of Göttingen,United Kingdom,682
Clifford Field,750873,FORESTRY,5505,34,1.0,Eva Reid,Health,University of Szeged,United States of America,431
Nathan Suzuki,850456,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,3700,85,1.0,Leigh Wallace,Humanities & Liberal Arts,Pompeu Fabra University,Australia,237
Altagracia Lester,456164,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,5501,98,1.0,Ruby Thomas,Agriculture & Natural Resources,University of Nebraska Medical Center,United States of America,765
Katina Joslyn,436684,MATHEMATICS AND COMPUTER SCIENCE,5503,20,1.0,Brandon Hanes,Education,University of the West of England,Israel,392
Cindy Roger,745796,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,2308,37,1.0,Armando Lanier,Business,University of Montreal,Spain,561
Catherine Powell,705561,MUSIC,2415,32,0.5,Rebekah Watts,Engineering,Slovak University of Technology in Bratislava,Hungary,345
Eugene Baird,986408,FINE ARTS,5299,89,0.5,Anna Darby,Social Science,University of Wisconsin-Milwaukee,Switzerland,266
Luis Irwin,218840,MUSIC,6000,36,0.5,Thomas Greene,Psychology & Social Work,University of Ottawa,Japan,421
Terrence Wiley,177729,CHEMISTRY,6206,69,0.5,Philip Woodall,Biology & Life Science,Inha University,Australia,213
Debbie Lee,470163,COUNSELING PSYCHOLOGY,2419,83,0.5,Eddie Hicks,Business,University of Central Lancashire,Japan,145
Tyrone Delatorre,349212,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,2416,55,1.0,William Norris,Agriculture & Natural Resources,Örebro University,United States of America,84
Valerie Yancy,239322,SOCIOLOGY,2502,89,0.5,Roger Dixon,Engineering,Koç University,Germany,760
Kathy Wahl,619034,AGRICULTURAL ECONOMICS,2305,42,0.5,Teri Peete,Engineering,Pontifical Catholic University of Chile,Germany,790
Marisa Caldwell,122383,INTERNATIONAL RELATIONS,1100,79,0.5,Josie Benner,Health,Athens University of Economics and Business,France,342
Maggie Bellino,139885,BIOMEDICAL ENGINEERING,6100,58,0.5,Dessie Felton,Health,National Institute of Applied Sciences of Lyon (INSA Lyon),France,397
Leon Dana,683730,CRIMINAL JUSTICE AND FIRE PROTECTION,6402,58,0.5,Robert Little,Engineering,Drexel University,Switzerland,619
Freddy Hartman,137856,HISTORY,6203,87,1.0,Monica Carroll,Agriculture & Natural Resources,Yeungnam University,United Kingdom,59
Ronald Hendon,246670,FOOD SCIENCE,2309,4,0.5,Adrian Washington,Biology & Life Science,University of Trieste,Czech Republic,185
David Chess,833034,LANGUAGE AND DRAMA EDUCATION,2413,40,0.5,Perla Gerst,Health,São Paulo State University (UNESP),United Kingdom,271
Lester Felty,574674,ENGLISH LANGUAGE AND LITERATURE,3402,70,1.0,Martha Claassen,Engineering,Hong Kong University of Science and Technology,Luxembourg,202
Charlotte Jones,688757,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,2500,92,0.5,Margaret Miller,Engineering,Saitama University,United Arab Emirates,177
Katina Joslyn,712015,ADVERTISING AND PUBLIC RELATIONS,5299,7,0.5,Heather Baker,Education,University of Hertfordshire,Germany,695
Suzette Childs,800596,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",2901,32,0.5,Brian Davis,Psychology & Social Work,"National University of Ireland, Maynooth",Russian Federation,457
Teresa Huntley,897961,GENERAL SOCIAL SCIENCES,6000,90,1.0,Daniel Metzler,Education,Uppsala University,New Zealand,670
William Denson,947141,MISCELLANEOUS PSYCHOLOGY,5504,83,1.0,Wilbert Jennings,Engineering,National Autonomous University of Mexico,Luxembourg,116
Jeannette Parks,238117,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,1104,57,1.0,Lynda Reynolds,Humanities & Liberal Arts,University of Minho,United Kingdom,677
John Griffin,818044,INDUSTRIAL PRODUCTION TECHNOLOGIES,1101,64,0.5,Lois Miller,Arts,University of North Carolina at Chapel Hill,Australia,370
Heather Allen,575203,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,5202,57,1.0,Gene Spring,Physical Sciences,University of Padua,South Korea,9
James Dillon,770722,PHYSIOLOGY,5201,7,0.5,Cinthia McGurk,Industrial Arts & Consumer Services,City University London,United States of America,532
Barbara Sanford,506997,MISCELLANEOUS ENGINEERING,6110,48,0.5,Marisa Caldwell,Social Science,Florida State University,United States of America,538
Alyse Wong,193552,MISCELLANEOUS ENGINEERING,2409,59,0.5,Retha Smith,Social Science,Louisiana State University,Egypt,562
Tracy Yates,138173,GENERAL BUSINESS,5502,58,0.5,Rose Sullivan,Engineering,Eindhoven University of Technology,Australia,255
Rhiannon Pelletier,964455,ENVIRONMENTAL SCIENCE,6402,85,0.5,Robin Bradley,Business,University of Science and Technology of China,France,507
Dorothy Spaulding,296883,ENVIRONMENTAL ENGINEERING,3701,76,1.0,Vickie Lafferty,Education,Temple University,Australia,346
Don Aguirre,573566,PHYSICAL SCIENCES,2407,100,1.0,George Torres,Humanities & Liberal Arts,Yokohama City University,Netherlands,189
Ronnie Hicks,720783,ENGINEERING AND INDUSTRIAL MANAGEMENT,2406,9,0.5,Toni McGriff,Biology & Life Science,University of Manitoba,Japan,326
Wilbert Jennings,861857,ATMOSPHERIC SCIENCES AND METEOROLOGY,1401,95,0.5,Edith Campbell,Arts,University of Newcastle,Sweden,110
Ashley Garcia,979254,NUCLEAR ENGINEERING,5299,38,0.5,Amanda Coon,Engineering,Middlesex University,Austria,242
Gladys Blankenship,616123,ART HISTORY AND CRITICISM,6001,85,0.5,Sharon McMillin,Computers & Mathematics,La Trobe University,United Kingdom,278
Debra Boatright,143269,FINE ARTS,6102,14,1.0,Kenneth Marmon,Engineering,University of Iowa,United States of America,746
William Brown,261236,MUSIC,2414,50,0.5,Leon Dana,Business,University of Tokyo,Italy,664
John Nicholson,852604,ATMOSPHERIC SCIENCES AND METEOROLOGY,6100,0,1.0,James Delong,Engineering,National University of Córdoba,Czech Republic,701
Kathy Wahl,514120,BIOCHEMICAL SCIENCES,5504,87,1.0,William Brown,Engineering,Clemson University,Taiwan,369
Lina Cotton,252380,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,5006,74,1.0,Kenneth Greenlee,Social Science,University of Missouri,Belarus,346
Peggy Mejia,657252,CHEMICAL ENGINEERING,2416,8,1.0,Zachary Anderson,Business,Showa University,Italy,51
Ebony Weiss,230692,BOTANY,1904,79,0.5,David Atkinson,Communications & Journalism,University of A Coruña,Malaysia,345
Sandra Wong,585731,EARLY CHILDHOOD EDUCATION,2416,1,0.5,Nancy Cunningham,Humanities & Liberal Arts,University of Stuttgart,United States of America,285
Tara Porter,944219,MISCELLANEOUS FINE ARTS,6108,86,1.0,Jack Wilson,Agriculture & Natural Resources,Florida State University,United Kingdom,626
Dessie Felton,361934,MECHANICAL ENGINEERING,3700,82,1.0,Bernard Cotton,Education,University of Pisa,Japan,318
Rodney Plumb,713244,COMPUTER ENGINEERING,2313,99,0.5,Robert Wright,Education,École Normale Supérieure de Lyon,United States of America,182
Wilbert Jennings,809897,COMPUTER SCIENCE,5001,62,1.0,Dixie Klein,Health,Charité - Universitätsmedizin Berlin,India,10
Jason Owens,626508,TEACHER EDUCATION: MULTIPLE LEVELS,3607,24,0.5,Deborah Thomson,Engineering,Indian Institute of Technology Kanpur,Japan,374
Charmaine Fisher,149344,NUCLEAR ENGINEERING,3202,47,1.0,Shana Farrell,Health,University of Nebraska-Lincoln,Australia,785
Ken Goldstein,305429,ENVIRONMENTAL ENGINEERING,1106,55,1.0,William Brown,Industrial Arts & Consumer Services,Kobe University,United States of America,504
William Register,819585,ANIMAL SCIENCES,2414,55,0.5,Donna Lahti,Psychology & Social Work,Technical University of Berlin,United States of America,112
Joan Morton,422804,ATMOSPHERIC SCIENCES AND METEOROLOGY,6211,39,1.0,Manuel Cuthbertson,Biology & Life Science,University of Cincinnati,Republic of Ireland,264
Renee Delvecchio,888150,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,2403,29,1.0,Glen Ali,Humanities & Liberal Arts,National Taiwan University,Turkey,153
Henry Steward,355810,CONSTRUCTION SERVICES,6001,69,0.5,John Bryant,Education,Chulalongkorn University,China,457
Jeannette Parks,693480,PHYSICS,5299,22,0.5,Mary Carroll,Humanities & Liberal Arts,Autonomous University of Madrid,Spain,322
Diane Ayers,687449,NAVAL ARCHITECTURE AND MARINE ENGINEERING,4101,87,1.0,Frances Berrios,Computers & Mathematics,VŠB - Technical University of Ostrava,United States of America,47
Jeffery Diaz,123655,MASS MEDIA,2400,52,1.0,Bernadine Hayes,Law & Public Policy,Huazhong University of Science and Technology,Finland,263
Ada Burger,884569,SECONDARY TEACHER EDUCATION,2413,63,0.5,Ronald Jones,Health,Memorial University of Newfoundland,Serbia,170
Sammy Stewart,835868,AREA ETHNIC AND CIVILIZATION STUDIES,2409,92,0.5,Robert Workman,Biology & Life Science,University of Notre Dame,China,189
Ken Parker,354374,MISCELLANEOUS ENGINEERING,2105,73,1.0,Manuel Cuthbertson,Education,University of Amsterdam,Italy,85
Rose Jose,273829,HOSPITALITY MANAGEMENT,2300,61,0.5,Mina Rush,Biology & Life Science,Xidian University,United States of America,569
Matthew Denzer,199044,GENETICS,5601,81,1.0,Sandra Jones,Biology & Life Science,Tokyo University of Agriculture and Technology,France,122
Edward Tanner,922660,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,6211,87,1.0,Carol Ellison,Humanities & Liberal Arts,University of Bremen,Sweden,565
Dorothy Dean,738365,TREATMENT THERAPY PROFESSIONS,5401,51,1.0,Tony Ragsdale,Physical Sciences,University of St Gallen,Spain,805
Grant Perry,793348,PSYCHOLOGY,6108,13,0.5,Evelyn Butler,Engineering,Liverpool John Moores University,Japan,556
Lucas Palmer,286088,MISCELLANEOUS BIOLOGY,2106,5,1.0,Jacob Truong,Engineering,Technical University of Berlin,United States of America,786
Barry Boggs,651519,ECONOMICS,3201,8,0.5,Shannon Guin,Business,University of Turin,Italy,81
Michele Shead,724758,COMMUNICATIONS,6110,94,0.5,Barbara Favors,Psychology & Social Work,Tokyo University of Agriculture and Technology,Switzerland,64
Monica Carroll,501752,INTERCULTURAL AND INTERNATIONAL STUDIES,2307,92,1.0,Felix McMullen,Education,University of Chile,Hungary,154
Miguel Tyler,723108,ANTHROPOLOGY AND ARCHEOLOGY,5701,96,1.0,Dean Allen,Social Science,Wake Forest University,France,525
Derek Rice,388559,PETROLEUM ENGINEERING,5005,9,1.0,Lauren Burriss,Physical Sciences,Georgia State University,United States of America,309
Gary Corle,245946,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,2401,4,0.5,Heather Baker,Education,Erasmus University Rotterdam,United States of America,680
Lorene Calkins,869071,SCIENCE AND COMPUTER TEACHER EDUCATION,5200,4,0.5,Jonathan Haffner,Social Science,Kaohsiung Medical University,United Kingdom,790
Gary Goldstein,922459,METALLURGICAL ENGINEERING,5007,55,0.5,Martha Claassen,Engineering,Hiroshima University,Russian Federation,662
Lorraine Granger,964737,INDUSTRIAL AND MANUFACTURING ENGINEERING,6209,53,0.5,John Tao,Humanities & Liberal Arts,National Tsing Hua University,United Kingdom,814
Zachary Melendez,460041,HUMAN SERVICES AND COMMUNITY ORGANIZATION,1106,98,0.5,Ryan Haffey,Social Science,Oregon State University,Israel,164
Wanda Harp,364196,FOOD SCIENCE,4002,7,1.0,June Hartley,Humanities & Liberal Arts,Ohio State University,Brazil,11
Wanda Harp,214124,COMMERCIAL ART AND GRAPHIC DESIGN,3801,77,1.0,Martin Cooper,Computers & Mathematics,"Asia University, Taiwan",Brazil,75
Susan Welsh,773845,PHARMACOLOGY,6200,74,0.5,David Hammonds,Social Science,University of York,United States of America,428
Jennifer Collins,801209,PUBLIC ADMINISTRATION,6110,61,1.0,Kristin Robinson,Industrial Arts & Consumer Services,Korea Advanced Institute of Science and Technology (KAIST),United States of America,378
Blake Scanlan,317849,NUCLEAR ENGINEERING,6205,68,0.5,Vaughn Jackson,Education,University of Dundee,Brazil,553
Alan Perez,590336,BIOMEDICAL ENGINEERING,2418,29,1.0,Miguel Tyler,Industrial Arts & Consumer Services,North Carolina State University,Germany,16
Diane King,141569,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,2416,35,0.5,Clayton Hall,Engineering,Chulalongkorn University,United Kingdom,324
Jessica Lawson,237466,BIOLOGY,2901,64,1.0,Audrey Bandy,Engineering,University of Washington,Germany,478
Ruth Hillman,304630,ATMOSPHERIC SCIENCES AND METEOROLOGY,2504,5,0.5,Michelle Branson,Social Science,University of Kaiserslautern,United States of America,791
Marilyn Taylor,937399,BUSINESS MANAGEMENT AND ADMINISTRATION,2309,51,1.0,Donald Kay,Business,Colorado School of Mines,Malaysia,260
Deborah Thomson,289876,ECONOMICS,5601,90,1.0,Velma Williams,Humanities & Liberal Arts,University of Würzburg,United States of America,606
Royal Scott,512597,INDUSTRIAL PRODUCTION TECHNOLOGIES,6210,74,0.5,Patricia Callender,Arts,Tel Aviv University,United Kingdom,748
Robert Wright,774501,EDUCATIONAL ADMINISTRATION AND SUPERVISION,1100,62,1.0,Lee Scanlan,Communications & Journalism,National University of Science and Technology (MISiS),Poland,209
Betty Patrick,120875,CRIMINAL JUSTICE AND FIRE PROTECTION,5507,66,1.0,Karen Peter,Communications & Journalism,Sheffield Hallam University,United Kingdom,345
Marvin Henderson,300209,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,2409,48,1.0,Modesta Peeples,Computers & Mathematics,University of Padua,United States of America,455
Adam Kelley,671756,NEUROSCIENCE,3602,84,0.5,Paula Gregory,Biology & Life Science,University of Warwick,New Zealand,99
William Norris,289494,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,1103,23,0.5,Marion Wiggin,Humanities & Liberal Arts,Tohoku University,South Korea,671
Angela Freeman,140927,MISCELLANEOUS PSYCHOLOGY,6000,1,1.0,Era Rivera,Engineering,Rio de Janeiro State University (UERJ),United States of America,688
Ross Flowers,675313,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,3604,85,0.5,Kevin Page,Engineering,Korea University,Luxembourg,785
Kathi Senters,573716,ART AND MUSIC EDUCATION,6403,70,0.5,Latonya Doll,Business,Yonsei University,India,734
Melanie Williams,421927,MATHEMATICS,5004,6,0.5,Don Aguirre,Psychology & Social Work,Athens University of Economics and Business,United Kingdom,381
Anastacia Wooldridge,233740,TREATMENT THERAPY PROFESSIONS,6203,97,0.5,Lois Jones,Humanities & Liberal Arts,Newcastle University,South Korea,692
Charles Burnett,287634,CHEMICAL ENGINEERING,1100,46,0.5,Elizabeth Washington,Psychology & Social Work,University of Mannheim,United States of America,518
Mike Burton,711188,OPERATIONS LOGISTICS AND E-COMMERCE,2300,48,1.0,Kevin Richardson,Engineering,University of Vermont,Mexico,776
Brad Butler,781806,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,2310,54,0.5,Kenneth Greenlee,Business,Ural Federal University,United States of America,132
Penney Crayton,882814,NATURAL RESOURCES MANAGEMENT,1303,8,0.5,Chad Shepard,Interdisciplinary,Northwestern University,United States of America,98
Steven Orbison,899468,BIOCHEMICAL SCIENCES,5102,42,0.5,William Clark,Computers & Mathematics,Shahid Beheshti University,Oman,89
Brian Reyes,195119,PETROLEUM ENGINEERING,6100,20,1.0,Kenneth Marmon,Law & Public Policy,University of Milan,Netherlands,376
Kyle Lee,769530,BOTANY,2602,49,1.0,Tiffany Rowsey,Education,Maastricht University,France,319
Freddy Hartman,858575,COMPUTER ENGINEERING,6004,16,0.5,Marilyn Gill,Agriculture & Natural Resources,Nagoya University,Italy,700
Danny Lofton,865502,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,5505,67,1.0,See Ragsdale,Business,University of Edinburgh,Iran,513
Daniel Host,523691,COMMUNITY AND PUBLIC HEALTH,4006,69,1.0,Anna Ramirez,Computers & Mathematics,King Abdulaziz University,United States of America,620
Danielle Gottlieb,732337,FILM VIDEO AND PHOTOGRAPHIC ARTS,3801,84,1.0,Daniel Metzler,Law & Public Policy,University of Regina,Italy,200
Martha Claassen,335684,MEDICAL ASSISTING SERVICES,2400,79,1.0,Alan Leonard,Engineering,National University of Sciences and Technology,Iran,388
Ronald McCullough,237227,CONSTRUCTION SERVICES,5201,7,0.5,Mary Lucey,Education,Federal University of Minas Gerais,Belgium,731
Terry Torres,526184,MATHEMATICS,2602,53,0.5,Jesse Burt,Computers & Mathematics,University of Rochester,Israel,524
James Matthews,290569,COMPUTER SCIENCE,3608,21,1.0,Claretta Brown,Humanities & Liberal Arts,The Open University,United States of America,237
Clifford Ladouceur,638631,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,6110,58,1.0,Marie Clark,Engineering,University of Coimbra,South Africa,300
Diane Ayers,988380,TEACHER EDUCATION: MULTIPLE LEVELS,2500,16,1.0,David Simmons,Engineering,East China University of Science and Technology,United States of America,201
June Hartley,274036,COMMUNICATION TECHNOLOGIES,2407,38,0.5,David Chess,Agriculture & Natural Resources,University of Luxembourg,South Korea,53
Martha Cline,984484,INFORMATION SCIENCES,5007,66,0.5,Craig Cambell,Social Science,Moscow Institute of Physics and Technology,Czech Republic,339
Howard Martin,113115,COMPUTER ENGINEERING,2503,75,0.5,Steven Ranieri,Computers & Mathematics,University of Cagliari,United States of America,278
Jamika Smith,988858,TEACHER EDUCATION: MULTIPLE LEVELS,2500,39,0.5,Edith Pearson,Arts,Tokyo University of Science,France,607
Edward Jackson,177448,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,1904,43,0.5,Lynn French,Psychology & Social Work,"University of the Andes, Colombia",Lithuania,697
Elizabeth Weldon,345764,PHYSICAL SCIENCES,6212,37,0.5,Jane Moon,Psychology & Social Work,National Taiwan Normal University,Netherlands,768
Robert Stewart,587833,ELEMENTARY EDUCATION,2419,49,0.5,Michael Anderson,Engineering,Federal University of São Carlos,United States of America,500
Lorene Martin,118362,ART HISTORY AND CRITICISM,2504,89,0.5,Ronald Cotten,Engineering,Lancaster University,United States of America,340
Betty Wathen,846392,ACTUARIAL SCIENCE,2412,84,0.5,Joseph Hammett,Industrial Arts & Consumer Services,McMaster University,United Kingdom,374
Daniel Walker,916116,MARKETING AND MARKETING RESEARCH,3601,36,0.5,Mark Wroblewski,Health,Ben-Gurion University of the Negev,Finland,249
James Delong,133587,ART AND MUSIC EDUCATION,2409,24,1.0,Erin Valentine,Health,University of British Columbia,United Kingdom,153
Bianca Vargas,822448,SOIL SCIENCE,2306,84,1.0,Michelle Sullivan,Business,Dublin City University,Chile,82
Jimmy Farmer,627562,PHYSICS,2417,50,1.0,Jennifer Thomas,Computers & Mathematics,Ulm University,Italy,423
Ralph Weatherly,126514,AREA ETHNIC AND CIVILIZATION STUDIES,2310,64,1.0,Kathy Wahl,Arts,Durham University,New Zealand,650
John Bryant,534000,SECONDARY TEACHER EDUCATION,2603,71,1.0,James Mays,Psychology & Social Work,National Chengchi University,South Africa,253
Marcella Long,188087,ENVIRONMENTAL ENGINEERING,4002,66,1.0,Mary Gerow,Social Science,University of Victoria,Sweden,426
Elizabeth Baker,303254,BUSINESS MANAGEMENT AND ADMINISTRATION,5301,27,0.5,Ryan Worthington,Social Science,Indian Institute of Technology Guwahati,Canada,140
Alan Leonard,169492,PHARMACOLOGY,3605,72,0.5,Jo Malinowski,Communications & Journalism,University of Canterbury,Brazil,755
Freddie Richardson,142003,FAMILY AND CONSUMER SCIENCES,2411,55,1.0,Cynthia Schreiber,Agriculture & Natural Resources,China University of Geosciences (Wuhan),Germany,631
Dwayne Barrera,495470,COMPUTER ENGINEERING,1902,40,1.0,Ronald Hendon,Interdisciplinary,Aligarh Muslim University,India,663
Debra Shaw,869942,INTERNATIONAL BUSINESS,6211,63,0.5,Clyde Navarre,Health,Indian Institute of Science,Japan,37
Elizabeth Baker,499641,AGRICULTURAL ECONOMICS,4901,33,0.5,James Little,Business,Pennsylvania State University,Japan,55
Joe Peters,452752,SOCIAL WORK,4005,85,1.0,Don Bell,Social Science,University of Luxembourg,Uganda,84
Gertrude Robinson,940253,HEALTH AND MEDICAL PREPARATORY PROGRAMS,2504,65,1.0,Olga Bradley,Education,University of Rovira i Virgili,United States of America,44
Dorothy Dean,270464,SOCIAL WORK,6205,91,0.5,Bobby Simpson,Education,Korea University,United States of America,163
Gary Corle,232868,COMMUNICATION DISORDERS SCIENCES AND SERVICES,2106,23,0.5,Robin Bradley,Engineering,Alexandru Ioan Cuza University,United Kingdom,66
Roseanna Speakman,644105,NUTRITION SCIENCES,5403,7,0.5,Catherine Lynch,Communications & Journalism,South China University of Technology,Iran,43
Kenneth Hughes,634652,NUCLEAR ENGINEERING,5506,86,0.5,William Brown,Biology & Life Science,Hebrew University of Jerusalem,South Africa,220
Grant Perry,176549,DRAMA AND THEATER ARTS,3608,87,0.5,Megan Castillo,Engineering,University of Paris North – Paris 13,United Kingdom,223
James Matthews,992378,ART HISTORY AND CRITICISM,5501,67,0.5,Annie Randall,Engineering,Hunan University,South Korea,646
Richard Bender,201939,CLINICAL PSYCHOLOGY,5500,15,0.5,Karen Mitchell,Law & Public Policy,University of Toronto,United States of America,52
Kenneth Williams,870177,INTERNATIONAL BUSINESS,4101,58,1.0,Brian Davis,Engineering,University College London,Sweden,331
Ronald Collins,536441,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,1106,32,0.5,Wayne Thomas,Business,University of Southern Denmark,South Korea,339
Leonore Flynn,284033,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,2411,34,0.5,Zula Hoffman,Health,Queen Mary University of London,Finland,641
Maria Ball,249343,ENGINEERING AND INDUSTRIAL MANAGEMENT,2415,50,0.5,Beatrice Harris,Agriculture & Natural Resources,University of Southern Queensland,Taiwan,486
Martin Rosenthal,973554,MULTI/INTERDISCIPLINARY STUDIES,2201,12,1.0,Kary Coachman,Engineering,Paris Dauphine University,Republic of Ireland,624
Suzan Slusher,350822,MISCELLANEOUS ENGINEERING,1100,89,0.5,Edward Jackson,Arts,University of Florida,Japan,287
Robert Wells,683893,PHARMACOLOGY,2412,59,1.0,Mary Bridges,Biology & Life Science,University of Science and Technology Beijing,United States of America,551
Patricia Ware,679245,GENETICS,6209,34,0.5,Joe Fitzgerald,Biology & Life Science,Drexel University,Italy,650
John Barber,561445,CRIMINOLOGY,2106,99,1.0,Calvin Parker,Psychology & Social Work,University of Cyprus,United States of America,775
Charlotte Jones,393344,AEROSPACE ENGINEERING,6106,3,0.5,Daniel Lara,Social Science,Prince of Songkla University,Colombia,609
Patricia Ware,778302,GENERAL ENGINEERING,5506,57,1.0,Shelly Tune,Health,Hong Kong University of Science and Technology,Taiwan,687
David Simmons,325236,AREA ETHNIC AND CIVILIZATION STUDIES,3699,95,1.0,Thomas Adolph,Engineering,Ghent University,Finland,702
Janette Hewitt,120326,ADVERTISING AND PUBLIC RELATIONS,6106,37,0.5,Timothy Moore,Humanities & Liberal Arts,University of Murcia,United Kingdom,209
